County,Id2,Geography,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage - Median (dollars),Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage - Median (dollars),SMOC for housing units with and without a mortgage,Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Occupied units paying rent - Median (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
Burlington,34005704014,"Census Tract 7040.14, Burlington County, New Jersey",6.4,1.6,1662,2620,762,1129,2151,548,970,118033
Burlington,34005704200,"Census Tract 7042, Burlington County, New Jersey",7.7,8,1738,2551,646,855,2091,491,1230,97560
Burlington,34005704302,"Census Tract 7043.02, Burlington County, New Jersey",5.9,7.6,1338,2988,336,1246,2638,143,1519,141970
Burlington,34005704500,"Census Tract 7045, Burlington County, New Jersey",11,10.7,600,1921,454,724,1405,527,830,57240
Burlington,34005704600,"Census Tract 7046, Burlington County, New Jersey",7.1,12.8,354,1491,167,765,1258,436,1076,40833
Burlington,34005704700,"Census Tract 7047, Burlington County, New Jersey",5.8,12.8,709,1914,400,768,1501,166,1047,76974
Burlington,34005704801,"Census Tract 7048.01, Burlington County, New Jersey",20.3,5.9,191,1959,68,681,1623,692,1895,57283
Burlington,34005704802,"Census Tract 7048.02, Burlington County, New Jersey",24,0,0,0,5,0,0,200,2257,84792
Burlington,34005981802,"Census Tract 9818.02, Burlington County, New Jersey",0,33.3,12,3375,0,0,3375,0,0,166250
Burlington,34005982111,"Census Tract 9821.11, Burlington County, New Jersey",21,0,0,0,0,0,0,124,2125,63333
Camden,34007600200,"Census Tract 6002, Camden County, New Jersey",9.1,20.2,155,944,208,456,664,285,961,24099
Camden,34007600400,"Census Tract 6004, Camden County, New Jersey",12.4,22.2,88,961,331,308,445,410,875,18625
Camden,34007600700,"Census Tract 6007, Camden County, New Jersey",0,10.8,29,791,141,417,481,286,1035,24438
Camden,34007600800,"Census Tract 6008, Camden County, New Jersey",11.6,5.4,119,975,163,460,677,1447,422,19746
Camden,34007600900,"Census Tract 6009, Camden County, New Jersey",9.2,3.7,210,973,210,495,734,906,729,23810
Camden,34007601000,"Census Tract 6010, Camden County, New Jersey",6.4,3.6,596,1084,293,516,897,915,1128,39253
Camden,34007601101,"Census Tract 6011.01, Camden County, New Jersey",9.3,3.8,274,1217,110,519,1017,379,964,42143
Camden,34007601102,"Census Tract 6011.02, Camden County, New Jersey",9.9,6.6,529,1141,285,548,933,805,963,37500
Camden,34007601200,"Census Tract 6012, Camden County, New Jersey",8.6,8.9,636,1105,522,486,826,669,1048,42121
Camden,34007601300,"Census Tract 6013, Camden County, New Jersey",7.9,12.7,339,1177,252,463,873,905,917,22217
Camden,34007601400,"Census Tract 6014, Camden County, New Jersey",5.4,19.6,405,1195,371,475,851,804,940,32303
Camden,34007601500,"Census Tract 6015, Camden County, New Jersey",7.5,7.4,464,1077,281,512,864,1491,895,18277
Camden,34007601600,"Census Tract 6016, Camden County, New Jersey",9.3,10.8,99,958,167,448,638,689,874,23204
Camden,34007601700,"Census Tract 6017, Camden County, New Jersey",7.2,3.4,59,755,40,0,755,1239,549,12629
Camden,34007601800,"Census Tract 6018, Camden County, New Jersey",18.8,10.3,168,927,119,484,743,198,960,29922
Camden,34007601900,"Census Tract 6019, Camden County, New Jersey",2.3,15.5,175,959,171,441,703,688,527,20232
Camden,34007602000,"Census Tract 6020, Camden County, New Jersey",14.6,2.7,845,1075,265,299,890,1341,1031,31823
Camden,34007602503,"Census Tract 6025.03, Camden County, New Jersey",13.7,13.6,486,1457,168,763,1279,89,1222,59750
Camden,34007602601,"Census Tract 6026.01, Camden County, New Jersey",2.7,15.6,569,1690,226,839,1448,68,1565,71750
Camden,34007602602,"Census Tract 6026.02, Camden County, New Jersey",14.4,5.9,560,1790,123,813,1614,313,905,61875
Camden,34007602901,"Census Tract 6029.01, Camden County, New Jersey",4.1,16.4,999,1729,593,865,1407,289,1407,73750
Camden,34007602902,"Census Tract 6029.02, Camden County, New Jersey",8.4,13.5,673,1912,177,735,1667,326,271,61667
Camden,34007603001,"Census Tract 6030.01, Camden County, New Jersey",8.7,10.3,843,1762,223,854,1572,215,1282,72440
Camden,34007603002,"Census Tract 6030.02, Camden County, New Jersey",9.2,14.9,933,1583,215,746,1426,249,1002,70921
Camden,34007603100,"Census Tract 6031, Camden County, New Jersey",10.6,9.1,629,2072,197,761,1759,572,1083,70563
Camden,34007603200,"Census Tract 6032, Camden County, New Jersey",9.8,12.1,1075,1966,696,801,1508,764,1658,75951
Camden,34007603301,"Census Tract 6033.01, Camden County, New Jersey",10.5,10.2,846,2218,337,888,1839,803,1360,67336
Camden,34007603302,"Census Tract 6033.02, Camden County, New Jersey",4.1,15,1011,1999,796,1052,1582,359,1178,95778
Camden,34007603303,"Census Tract 6033.03, Camden County, New Jersey",11.4,7.4,368,1891,166,918,1589,743,1066,50781
Camden,34007603400,"Census Tract 6034, Camden County, New Jersey",3.9,14.4,1259,2146,753,966,1704,665,1472,73625
Camden,34007603501,"Census Tract 6035.01, Camden County, New Jersey",6.6,9.3,1038,2841,695,1215,2189,656,1796,108571
Camden,34007603503,"Census Tract 6035.03, Camden County, New Jersey",0,30.5,1002,2950,567,1433,2402,18,0,148882
Camden,34007603504,"Census Tract 6035.04, Camden County, New Jersey",2.4,17.8,571,2274,297,1236,1919,36,2184,104922
Camden,34007603505,"Census Tract 6035.05, Camden County, New Jersey",2.3,19.9,680,2155,402,958,1710,53,2327,110341
Camden,34007603506,"Census Tract 6035.06, Camden County, New Jersey",1.8,15.3,1532,2649,486,1235,2308,44,3093,132797
Camden,34007603507,"Census Tract 6035.07, Camden County, New Jersey",6.5,7.8,1686,2706,535,1425,2397,542,0,120322
Camden,34007603601,"Census Tract 6036.01, Camden County, New Jersey",6,18.9,761,1938,494,1012,1574,137,1444,88200
Camden,34007603602,"Census Tract 6036.02, Camden County, New Jersey",2.3,23.3,583,2909,258,1320,2422,12,0,146625
Camden,34007603603,"Census Tract 6036.03, Camden County, New Jersey",3.4,12.1,599,2412,221,1155,2073,19,1708,123487
Camden,34007603700,"Census Tract 6037, Camden County, New Jersey",7.9,12,666,1766,281,941,1521,547,1108,76310
Camden,34007603800,"Census Tract 6038, Camden County, New Jersey",3.2,12,1231,2212,333,1005,1955,264,1031,105096
Camden,34007603901,"Census Tract 6039.01, Camden County, New Jersey",3.2,17.3,891,2299,521,1021,1827,687,1066,77375
Camden,34007603902,"Census Tract 6039.02, Camden County, New Jersey",13.9,9.3,439,1955,198,767,1586,564,1362,72083
Camden,34007604100,"Census Tract 6041, Camden County, New Jersey",5.5,5,306,1399,165,535,1096,324,1121,45201
Camden,34007604200,"Census Tract 6042, Camden County, New Jersey",12.9,11,449,2002,204,1102,1721,693,1310,71944
Camden,34007604300,"Census Tract 6043, Camden County, New Jersey",10,14.2,825,1941,252,1005,1722,565,1080,83864
Camden,34007604400,"Census Tract 6044, Camden County, New Jersey",12.5,17,603,2444,411,1113,1905,320,1035,84131
Camden,34007604600,"Census Tract 6046, Camden County, New Jersey",11.2,5.4,361,1849,119,949,1626,436,873,62750
Camden,34007604700,"Census Tract 6047, Camden County, New Jersey",5.9,20.6,487,1819,209,853,1529,82,1250,73796
Camden,34007605100,"Census Tract 6051, Camden County, New Jersey",9.2,26.4,419,1587,313,817,1258,132,998,57438
Camden,34007605200,"Census Tract 6052, Camden County, New Jersey",7,20,426,1600,303,731,1239,206,963,57727
Camden,34007605300,"Census Tract 6053, Camden County, New Jersey",7.6,11.9,410,1467,138,741,1284,163,1222,62697
Camden,34007605400,"Census Tract 6054, Camden County, New Jersey",8.6,18.8,542,1714,264,900,1447,234,895,60774
Camden,34007605602,"Census Tract 6056.02, Camden County, New Jersey",17.2,10.7,637,1974,144,1048,1803,286,1014,87885
Camden,34007605700,"Census Tract 6057, Camden County, New Jersey",5.7,15.3,810,1873,232,869,1649,356,930,81524
Camden,34007605800,"Census Tract 6058, Camden County, New Jersey",5.3,25.2,603,2102,396,880,1618,88,913,86250
Camden,34007605900,"Census Tract 6059, Camden County, New Jersey",3.5,19.2,596,2416,253,1093,2022,118,967,104417
Camden,34007606000,"Census Tract 6060, Camden County, New Jersey",11,5,332,2458,171,1198,2030,322,763,78689
Camden,34007606100,"Census Tract 6061, Camden County, New Jersey",9.7,11.3,487,3363,167,1500,2887,116,1190,145000
Camden,34007606200,"Census Tract 6062, Camden County, New Jersey",5.4,15.9,855,2866,465,1210,2283,129,1566,122344
Camden,34007606300,"Census Tract 6063, Camden County, New Jersey",10.1,7.4,439,3016,204,1253,2457,294,1271,105179
Camden,34007606400,"Census Tract 6064, Camden County, New Jersey",6.1,13.6,656,4000,305,1500,3207,63,1218,196989
Camden,34007606500,"Census Tract 6065, Camden County, New Jersey",10.1,12.8,595,1745,209,693,1472,339,832,64103
Camden,34007606600,"Census Tract 6066, Camden County, New Jersey",8.1,16.2,298,1958,288,1076,1525,360,950,76250
Camden,34007606700,"Census Tract 6067, Camden County, New Jersey",11.5,15.1,778,1895,369,873,1566,677,820,70391
Camden,34007606800,"Census Tract 6068, Camden County, New Jersey",7.8,21.9,792,1836,269,823,1579,248,1089,63796
Camden,34007607000,"Census Tract 6070, Camden County, New Jersey",11.3,19.1,444,1575,375,707,1178,887,698,42250
Camden,34007607100,"Census Tract 6071, Camden County, New Jersey",5.7,24.1,803,1609,416,800,1333,175,908,73077
Camden,34007607200,"Census Tract 6072, Camden County, New Jersey",10.9,9.7,720,1721,218,878,1525,842,893,46576
Camden,34007607300,"Census Tract 6073, Camden County, New Jersey",12.1,12.6,797,1681,246,844,1484,581,930,53938
Camden,34007607401,"Census Tract 6074.01, Camden County, New Jersey",7,12.9,571,1678,184,832,1472,372,886,54804
Camden,34007607402,"Census Tract 6074.02, Camden County, New Jersey",4.6,15.7,501,1679,243,785,1387,270,963,67667
Camden,34007607502,"Census Tract 6075.02, Camden County, New Jersey",4.8,8.2,1118,2542,586,1168,2069,346,944,86473
Camden,34007607503,"Census Tract 6075.03, Camden County, New Jersey",5.1,2.7,1273,2424,529,1324,2101,384,1840,104257
Camden,34007607504,"Census Tract 6075.04, Camden County, New Jersey",3.1,5.4,716,3127,413,1451,2514,16,0,173304
